Ticker,Company,Sector,Price,50DMA,200DMA,52w High,Pullback %,Distance Above 200DMA %,50DMA Above 200DMA %,Trend OK,Pullback OK,Qualifies,Pullback Rank,Trend Strength Rank,Combined Rank Score,Rank
FDS,FactSet,Financial Infrastructure,301.9599914550781,271.86695770263674,247.557794342041,368.7369689941406,-18.10965082270436,21.975554135803833,9.819591188879606,True,True,True,1.0,1.0,2.0,1
MORN,Morningstar,Financial Infrastructure,209.39999389648438,189.9970672607422,187.14957473754882,255.0811309814453,-17.908473633153132,11.889110189076657,1.521506274960327,True,True,True,2.0,2.0,4.0,2
CMG,Chipotle Mexican Grill,Consumer,36.959999084472656,34.87099998474121,34.8505500793457,42.36000061035156,-12.747878772596854,6.052842782464785,0.058678859728034105,True,True,True,3.0,3.0,6.0,3
MNST,Monster Beverage,Consumer,43.81999969482422,47.39400009155273,41.78485006332397,49.970001220703125,-12.307387183594653,4.870544296356272,13.423884541234976,True,True,True,4.0,4.0,8.0,4
ROK,Rockwell Automation,Industrials,433.80999755859375,452.8104052734375,418.1459797668457,493.55963134765625,-12.105859149362995,3.7460644247930164,8.290029603039661,True,True,True,5.0,5.0,10.0,5
